,Date_x,Open,High,Low,Close,Adj Close,PP,R1,S1,R2,S2,R3,S3,R4,S4,R5,S5
133,2020-04-22,3.09,3.15,3.05,3.09,3.09,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
134,2020-04-23,3.2,3.2,3.05,3.06,3.06,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
135,2020-04-24,3.08,3.1,2.91,2.94,2.94,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
136,2020-04-27,3.0,3.26,2.95,3.24,3.24,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
137,2020-04-28,3.4,3.45,3.2,3.34,3.34,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
138,2020-04-29,3.83,3.98,3.59,3.61,3.61,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
139,2020-04-30,3.63,3.72,3.37,3.41,3.41,3.033333333333333,3.9566666666666666,1.8566666666666665,5.133333333333333,0.9333333333333331,6.056666666666667,-0.24333333333333407,6.9799999999999995,-1.42,7.903333333333333,-2.5966666666666676
140,2020-05-01,3.3,3.33,3.12,3.18,3.18,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
141,2020-05-04,3.08,3.36,3.08,3.34,3.34,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
142,2020-05-05,3.44,3.48,3.28,3.28,3.28,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
143,2020-05-06,3.59,3.65,3.45,3.62,3.62,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
144,2020-05-07,3.63,3.67,3.52,3.63,3.63,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
145,2020-05-08,3.68,3.8,3.6,3.77,3.77,3.203333333333333,4.186666666666666,2.4266666666666663,4.963333333333333,1.4433333333333334,5.946666666666665,0.6666666666666661,6.93,-0.10999999999999943,7.913333333333332,-0.8866666666666667
